(-8.98779658943+4.44040448532e-16j) (0.00220621844046-4.37192521109e-09j) (-0.200897326582-2.52821897823e-09j) (-6.85135908853e-05-4.37473279631e-10j) (-0.000366461243584+1.83748522612e-08j) (-0.000286291021321+1.41504777634e-10j) (0.00351121567223-4.30495070344e-09j) (-0.00626906459634-6.55490595661e-09j) (4.26717866854e-05+1.91270149836e-10j) (6.35941370333e-05+1.51529973756e-08j) (0.000419948110878+2.25146594393e-09j) (0.000270219189267+3.37387291057e-10j) (6.61925901117e-05-6.98092685522e-10j) (-9.51238428938e-05+8.09569927755e-09j) (0.00795417266658+5.95007473476e-09j) (-0.151428966835-6.79468480063e-09j) (-0.0341458838698+2.85880779563e-09j) (-0.188444006517-1.77185925845e-09j) (0.00063789189767-3.74997917247e-09j) (0.000795067707593+3.51798755404e-10j) (-0.212046671467+1.1329920245e-09j) (5.46998672871e-06+3.3822904567e-09j) (0.025910725444-1.89245168087e-09j) 
(0.000270219189267-3.37387291079e-10j) (-0.0373549857151+2.50417536588e-09j) (0.000107769109745-6.1411182997e-09j) (0.00183661844246+1.76067010664e-10j) (0.00891699242979+3.91723008213e-10j) (-3.62895476403e-05-3.28219917911e-09j) (0.000124977828887+4.11728120521e-10j) (0.000717779189766-2.82375793736e-10j) (-0.000866999245615+1.91799478849e-09j) (-0.180194855147+3.57720650006e-09j) (0.00010531150248-1.18432417615e-09j) (3.57459252024-7.29186805085e-19j) (-0.00386743729334+3.39469902019e-09j) (0.00078365913843+2.31822623101e-09j) (0.0165915898359-1.66610364307e-09j) (0.00165340770702-3.37238404559e-09j) (0.000108392583129+1.01836484339e-09j) (0.00083511113462-1.09099591432e-09j) (-0.0470650411124-4.35466414297e-11j) (5.81829896117e-05+5.03444450468e-10j) (0.000630198137387+2.71645520501e-09j) (0.000977334837173+8.17079250819e-09j) (0.000271987395521-6.03918706577e-10j) 
(6.61925901117e-05+6.98092685555e-10j) (-0.00111212786435+3.40809559282e-09j) (7.81871416115e-06-1.05191587307e-09j) (-0.067338751177+7.50054661451e-09j) (8.72290044362e-05+9.10631138174e-10j) (-0.000203433912298-2.46123693622e-09j) (0.00011697574523-1.86099833511e-10j) (-0.000753502869856+1.5048581289e-09j) (0.0728808586452-6.61559779759e-10j) (0.0013235907342-6.53212941376e-10j) (0.000731805601035+1.64429084417e-09j) (-0.00386743729334-3.39469901888e-09j) (3.89080945564-1.32194310754e-17j) (-0.102132809058-1.50499181892e-09j) (-0.00179669810372-1.53045879809e-09j) (9.11343486203e-06-1.04298963452e-09j) (0.00050445240142-1.49590860372e-09j) (-8.09156743801e-05+3.05474648261e-10j) (-0.00244974962583-1.03220014005e-09j) (7.55678531134e-05+1.79112758758e-09j) (2.55838866274e-05+4.32015391111e-10j) (-0.0190916925085-6.42755167528e-09j) (3.69592121515e-05-1.34638205817e-10j) 
(-9.51238428938e-05-8.09569927751e-09j) (-0.00392406119337+3.15223527081e-09j) (-8.64798016239e-05+3.38014806407e-09j) (0.0374824294828-1.92197724541e-09j) (0.00395923400756+1.12316956361e-09j) (-0.000135516375423+1.11552580482e-09j) (9.09049251764e-05+2.21075986442e-09j) (-0.00157241681194+1.79837629269e-09j) (0.144216686038-2.30643068259e-09j) (-0.000203940379306+4.35918600228e-10j) (0.00169251738345+1.38620095592e-09j) (0.00078365913843-2.31822622893e-09j) (-0.102132809058+1.50499189937e-09j) (4.10077649851+1.18366943101e-17j) (0.00356213807281-5.80009083602e-10j) (7.20793783318e-05-2.73350845729e-09j) (0.000336029283068-3.81686427703e-09j) (-8.70871996641e-05+6.61711839742e-10j) (-0.0138322183827+6.49277329795e-10j) (8.40821730453e-05-1.04377070542e-09j) (-5.42303797182e-05+4.80511385466e-11j) (-0.0204227708048+3.25901209693e-09j) (8.13968493495e-05-1.80762739164e-09j) 
(0.00795417266658-5.95007473484e-09j) (0.134081324701+5.00183518153e-09j) (0.00240596023761-2.66468108026e-10j) (0.00196055814058-7.97846597931e-10j) (-0.0868093594322-3.85113837059e-09j) (0.000187931814218-7.5189213553e-10j) (0.00322069510915+1.581194695e-09j) (0.00807210778879+2.87644885965e-10j) (0.00859319097613-1.07312004694e-09j) (-0.0467679859936-5.53371755983e-10j) (0.000173408103019+1.57192838708e-09j) (0.0165915898359+1.6661036307e-09j) (-0.00179669810372+1.5304587999e-09j) (0.00356213807281+5.80009128195e-10j) (4.46752810074+2.34247073055e-17j) (-0.00519838719586+1.76135027457e-09j) (0.00117496621073+5.64587701062e-11j) (0.00628173370329+1.303371954e-09j) (0.460036263472-3.31409706265e-11j) (-0.000544645025742-3.59458303976e-09j) (0.00740842281972+1.86153875887e-09j) (-0.00239440872324+4.02364518904e-09j) (0.00403452913325-4.48731460838e-10j) 
(-0.151428966835+6.79468480124e-09j) (0.00859103674418+5.81649881083e-09j) (-0.0519771354905-5.22991388397e-10j) (3.89354202676e-05-1.85213042224e-09j) (-0.00494572927673-2.18126631657e-09j) (-0.00357393389147-1.77845789075e-10j) (-0.0532122546127+2.41549499493e-10j) (-0.14516070207-4.48645624397e-10j) (-0.0011401271977-5.28817023834e-10j) (-0.00121806465974-2.02148121546e-09j) (-0.000849345210593-7.10723778341e-10j) (0.00165340770702+3.37238404471e-09j) (9.11343486203e-06+1.04298963352e-09j) (7.20793783318e-05+2.73350845763e-09j) (-0.00519838719586-1.76135026617e-09j) (4.59668192147-4.57538969195e-18j) (-0.026911184089-1.48631447244e-09j) (-0.157662053308+1.46239924465e-09j) (0.0279752731848-6.52116940334e-10j) (6.97849819912e-05+4.71575203964e-10j) (-0.166317993332+7.63271981934e-10j) (-0.000112722551306+7.62677311079e-10j) (-0.0768740289869-2.35260342692e-10j) 
(-0.0341458838698-2.85880779299e-09j) (0.000105133694869-5.81061213243e-09j) (-0.0255709262057+5.62530751208e-09j) (5.06895761432e-06+3.84794628679e-09j) (-1.71153295377e-07-4.41202169123e-09j) (-0.0761929276359-1.50524031806e-09j) (0.0216027599703-2.25863847779e-09j) (0.0132957723674+4.78027534425e-09j) (6.99444227748e-05+1.30159348454e-09j) (0.000111642120497+2.07855739299e-09j) (-0.0870958772679-1.17866978377e-09j) (0.000108392583129-1.01836484347e-09j) (0.00050445240142+1.49590860377e-09j) (0.000336029283068+3.81686427699e-09j) (0.00117496621073-5.64587693471e-11j) (-0.026911184089+1.4863144544e-09j) (5.90813920869+1.59110897755e-16j) (-0.122064529891-2.56568587853e-09j) (0.000383511461077+1.13966468233e-09j) (-0.00298607921826-3.82760168549e-10j) (-0.106984288811+7.04360918032e-10j) (0.000103137017661-3.35991800533e-09j) (-0.0184856447767-3.42229732576e-11j) 
(-0.188444006517+1.77185927383e-09j) (0.00106384912344+6.29858026677e-10j) (-0.145590159781-4.08583842681e-09j) (-4.89145532855e-05-1.07135372204e-09j) (-0.000189481194872+2.32014279581e-09j) (0.00993662337806+2.7548709793e-10j) (0.108012420726+5.88698546585e-10j) (0.0891165170274-1.971301241e-09j) (0.00113502031524+2.32369626573e-10j) (0.000114040325519+2.02780737946e-09j) (0.0203516921669+5.42489103135e-10j) (0.00083511113462+1.09099591442e-09j) (-8.09156743801e-05-3.05474648479e-10j) (-8.70871996641e-05-6.61711839532e-10j) (0.00628173370329-1.30337195616e-09j) (-0.157662053308-1.46239927444e-09j) (-0.122064529891+2.56568592205e-09j) (5.31215723587-5.01474901396e-18j) (0.0034795440245-1.78581082791e-10j) (0.00172044483686+4.04298743125e-10j) (-0.593688674536+1.25469714385e-09j) (-1.95691851133e-05-1.20230555587e-09j) (-0.128405975375-1.03204666927e-10j) 
(0.00063789189767+3.74997917227e-09j) (-0.295112284791-7.35476145808e-09j) (0.000737052744486+1.47294946369e-09j) (-0.00115925440471-1.21716961654e-09j) (0.185070701988-3.24516768518e-09j) (-8.77523148496e-06+2.59096984856e-10j) (-7.97363642066e-05-6.47326822278e-10j) (0.000443863874088-7.46558273909e-10j) (-0.00659961157032+5.99769341399e-10j) (0.0323936239766+1.4997863846e-09j) (-0.00016480902339-1.55692396993e-10j) (-0.0470650411124+4.35466384893e-11j) (-0.00244974962583+1.03220015276e-09j) (-0.0138322183827-6.4927733165e-10j) (0.460036263472+3.31409629262e-11j) (0.0279752731848+6.5211693684e-10j) (0.000383511461077-1.13966468121e-09j) (0.0034795440245+1.78581083031e-10j) (6.69177880735-1.26785750642e-17j) (0.00123445743922-2.84921165186e-09j) (0.00422751489076+1.11839516665e-09j) (0.00790504872837+2.36012900823e-09j) (0.00355600979286-1.20044614869e-09j) 
(0.000795067707593-3.51798755341e-10j) (0.000358734590814+3.19408780551e-10j) (-9.21289435779e-06-6.48165384597e-10j) (-9.27358926098e-05-2.58150137358e-09j) (-0.000229400779442+2.77510475943e-09j) (0.0100720056034+1.10284998417e-09j) (-0.000338812419122-1.20124338368e-09j) (3.11046308e-05+2.00438968491e-09j) (-0.000156165390106+1.46051745445e-09j) (-2.12847413549e-05-1.10268472151e-09j) (-0.0137489925128+5.75089501912e-10j) (5.81829896117e-05-5.03444450484e-10j) (7.55678531134e-05-1.79112758752e-09j) (8.40821730453e-05+1.0437707054e-09j) (-0.000544645025742+3.59458303971e-09j) (6.97849819912e-05-4.71575203666e-10j) (-0.00298607921826+3.82760167708e-10j) (0.00172044483686-4.04298749594e-10j) (0.00123445743922+2.84921165233e-09j) (7.92008076538+3.99290799908e-18j) (0.00287881998606+3.76584747044e-09j) (0.000466236479808+3.53879486306e-09j) (0.00539987715487+2.68368834145e-10j) 
(-0.212046671467-1.13299200955e-09j) (0.00105821220943-1.46118228389e-09j) (-0.163323937478-3.0480772804e-09j) (-7.14217203964e-05+2.02907092368e-09j) (-0.000350862201169-2.17592827846e-10j) (-0.00262424249593-5.58245790627e-10j) (0.111495917498+4.25171674463e-10j) (0.0693696716854+6.91564889299e-10j) (0.000857509962146-1.2709821248e-09j) (0.000239094454666+1.34939115284e-09j) (0.00300690247348+1.30043009552e-10j) (0.000630198137387-2.71645520495e-09j) (2.55838866274e-05-4.32015391482e-10j) (-5.42303797182e-05-4.80511382795e-11j) (0.00740842281972-1.86153875767e-09j) (-0.166317993332-7.63271993545e-10j) (-0.106984288811-7.04360918455e-10j) (-0.593688674536-1.25469714621e-09j) (0.00422751489076-1.11839516742e-09j) (0.00287881998606-3.7658474747e-09j) (8.92494910818-1.40819226619e-16j) (0.00010843723488+2.7670616647e-09j) (-0.149493885081-2.25162694487e-09j) 
(5.46998672871e-06-3.3822904567e-09j) (0.00274715867778+8.93687674319e-10j) (2.11923039791e-05+1.61337835995e-09j) (0.0106983953081-3.18225102637e-09j) (-0.00111113190334-2.01895139335e-09j) (-0.000210582921961-6.35923078791e-10j) (5.84824472745e-06+1.68983056541e-09j) (-0.000626513136885-1.27789774278e-10j) (0.0504936554458-3.31743147345e-10j) (-0.0017378591488+5.77258345194e-09j) (0.0003786476941-1.4402723251e-09j) (0.000977334837173-8.17079250825e-09j) (-0.0190916925085+6.42755167708e-09j) (-0.0204227708048-3.25901209643e-09j) (-0.00239440872324-4.02364518837e-09j) (-0.000112722551306-7.62677311299e-10j) (0.000103137017661+3.35991800541e-09j) (-1.95691851133e-05+1.20230555607e-09j) (0.00790504872837-2.36012898125e-09j) (0.000466236479808-3.53879486324e-09j) (0.00010843723488-2.76706166453e-09j) (12.85440421-4.3645169504e-16j) (-0.000319807500085+2.56014446484e-10j) 
(0.025910725444+1.89245168087e-09j) (0.0032479187481+1.25794029251e-09j) (0.0126574635929-1.70096939204e-09j) (3.07241874258e-05+6.10822363159e-10j) (-0.00239174838927+8.67062134114e-10j) (-0.00229519252921+1.02552195644e-09j) (-0.050294444319+5.84036488784e-10j) (0.0021595253674+1.0190975938e-09j) (2.8845734058e-05+2.15224989121e-10j) (-0.00182550399473-9.52196046423e-10j) (0.00379933426158-3.27973410212e-10j) (0.000271987395521+6.03918706316e-10j) (3.69592121515e-05+1.34638205983e-10j) (8.13968493495e-05+1.80762739142e-09j) (0.00403452913325+4.48731461126e-10j) (-0.0768740289869+2.3526033664e-10j) (-0.0184856447767+3.42229706811e-11j) (-0.128405975375+1.03204667255e-10j) (0.00355600979286+1.20044614863e-09j) (0.00539987715487-2.68368834315e-10j) (-0.149493885081+2.25162690201e-09j) (-0.000319807500085-2.56014444824e-10j) (11.9542126682+2.56628701567e-17j) 
